goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0.2,0.2,0.2,0.2,0.2,0.2,5.08,1.2,1607114805281
0,0.06,0.06,0.56,0.31,0.56,10.5,2.61,1607115041322
0.29,0.03,0.21,0.26,0.21,0.26,3.9,1.24,1607115408614
0.23,0.23,0.23,0.16,0.16,0.16,4.64,1.12,1607115756133
0.11,0.18,0.21,0.32,0.18,0.32,10.03,1.53,1607115854486
0.15,0.21,0.21,0.29,0.15,0.29,10.69,1.6,1607116319376
0.2,0.2,0.2,0.2,0.2,0.2,9.21,0.8,1607116360089
0.27,0.23,0.19,0.23,0.08,0.23,5.85,1.26,1607116556585
0.2,0.2,0.2,0.2,0.2,0.2,3.25,1.2,1607118085484
0.11,0.26,0.26,0.32,0.05,0.32,11.07,0.97,1607118666465
0.2,0.2,0.2,0.2,0.2,0.2,6.07,1.2,1607129901627
