goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,1,0,0,1,10.73,2.13,1607115046520
0,0,1,0,0,1,11.21,1.8,1607115097420
0,0,1,0,0,1,3.91,2.2,1607115486517
0,0,1,0,0,1,25.29,1.8,1607115775262
0,0,1,0,0,1,14.92,1.6,1607116335649
0.25,0.25,0,0.25,0.25,0,9.71,0.2,1607118182890
0.16,0.16,0.53,0.11,0.05,0.53,8.94,1.29,1607121550937
