goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,1,0,0,16.7,0.91,1607115035927
0,0.17,0.83,0,0,0,254.24,2.19,1607115177638
0,0,0.33,0.33,0.33,0.33,15.78,0.93,1607115376410
0.05,0.05,0.05,0.43,0.43,0.43,4.76,2.74,1607115664898
0.1,0.1,0.14,0.31,0.34,0.34,14.34,1.78,1607116125693
0.25,0.25,0,0.25,0.25,0.25,15.46,2.14,1607118786567
0,0,0,0.56,0.44,0.44,11.88,1.26,1607120613621
0,0,0.4,0.6,0,0,16.37,1.33,1607123074097
