goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,time_spent,reward_score,user_id
0,0,0,0,1,0,21.81,0,1607115035927
0.05,0.16,0.53,0.21,0.05,0.53,27.59,0.53,1607115177638
0,0.25,0.25,0.25,0.25,0.25,11.13,0.25,1607115376410
0.2,0.2,0.2,0.2,0.2,0.2,24.73,0.2,1607115664898
0.2,0.2,0.2,0.2,0.2,0.2,4.95,0.2,1607116125693
0.2,0.2,0.2,0.2,0.2,0.2,35.33,0.2,1607118786567
0.22,0.33,0.11,0.22,0.11,0.11,15.24,0.11,1607120613621
0.16,0.11,0.37,0.11,0.26,0.37,36.93,0.37,1607123074097
